iter,timestamp,pressure,velocity,wall_spacing,number_of_layers,objective_raw,objective_for_BO,acquisition,profile_perpendicular,profile_parallel
1,2025-09-07 20:56:27,323.77917413285456,10.267318997105836,0.45712301340565586,3.963196561694881,16.50443595727848,16.50443595727848,RANDOM,19.193373417721517,35.697809375
2,2025-09-07 21:05:33,344.49038420857744,20.440633583333593,0.4617789477460521,6.156480263934844,17.731721875000005,17.731721875000005,RANDOM,20.765324999999997,38.497046875
3,2025-09-07 21:13:21,439.70929526813154,11.133512506652394,0.5400010679058797,3.969015417458763,26.544423363095238,26.544423363095238,RANDOM,16.38490476190476,42.929328125
4,2025-09-07 21:28:57,289.19250915139,14.406716296722175,0.3181191481904217,5.572917537193346,3.0662428847859395,3.0662428847859395,RANDOM,18.247124203821656,21.313367088607595
5,2025-09-07 21:35:46,398.6136856324365,16.503926121964312,0.46602225271013364,4.414507932337497,27.772085827024,27.772085827024,RANDOM,17.925926751592357,45.69801257861636
6,2025-09-07 21:42:36,300.6340310841082,22.72629253468297,0.48957453208147783,5.380789655992794,0.20882104796652357,0.20882104796652357,RANDOM,16.161838187702266,16.37065923566879
7,2025-09-07 21:52:33,417.51227940423234,12.151744225137506,0.4987499457757116,4.957224376097416,31.702562290335464,31.702562290335464,qUCB(beta=0.25),16.529009584664536,48.231571875
8,2025-09-07 22:07:20,403.4562665750931,10.0,0.5169406189488367,7.099212617562356,32.81872409274193,32.81872409274193,qUCB(beta=0.25),16.529029032258062,49.347753125
9,2025-09-07 22:24:59,404.2367359835172,10.0,0.3674659488759369,6.373886937264285,44.215898859126995,44.215898859126995,qUCB(beta=0.25),17.272473015873015,61.488371875000006
10,2025-09-07 22:52:15,417.57776566128956,10.0,0.27256239469845067,7.29390002345289,0.18124217280563926,0.18124217280563926,qUCB(beta=0.25),16.00650470219436,16.187746875
11,2025-09-07 23:11:40,403.73172252230927,10.0,0.39090752904854725,7.201416264626243,42.907245257615955,42.907245257615955,qUCB(beta=0.25),17.00410897435897,59.911354231974926
12,2025-09-07 23:23:24,413.19055661512624,10.0,0.37654855514460955,4.432680150212386,38.87472454796007,38.87472454796007,qUCB(beta=0.25),16.919720257234726,55.7944448051948
13,2025-09-07 23:46:29,389.8571655605685,10.0,0.37348796161165576,8.5,39.01869900159745,39.01869900159745,qUCB(beta=0.25),17.181188498402555,56.1998875
14,2025-09-08 00:06:38,420.58399423625264,10.0,0.3762986107201922,6.859421247119682,24.485900844051443,24.485900844051443,qUCB(beta=0.25),17.174636655948554,41.6605375
15,2025-09-08 00:18:09,396.09169425315974,10.0,0.3826638202128124,4.216344587665135,35.817073960966724,35.817073960966724,qUCB(beta=0.25),16.65204516129032,52.46911912225705
16,2025-09-08 00:34:37,395.78017091325944,10.0,0.3984197747359433,6.456836567171788,39.72259485530546,39.72259485530546,qUCB(beta=0.25),16.889273311897103,56.611868167202566
17,2025-09-08 00:51:14,401.2396386959245,13.150297849697305,0.3710622382141036,6.754739126979881,45.213324519230774,45.213324519230774,qUCB(beta=0.25),17.35164423076923,62.564968750000006
18,2025-09-08 01:04:13,401.49949095858614,19.96602797894078,0.373056187122888,6.877435831635967,45.45792743601892,45.45792743601892,qUCB(beta=0.25),17.01176848874598,62.4696959247649
19,2025-09-08 01:13:31,403.278958885911,30.0,0.3706834624738342,5.794610701537132,33.7493297275641,33.7493297275641,qLogNEI,20.648109375,54.3974391025641
20,2025-09-08 01:29:05,397.8572620726345,18.70205493269823,0.3675727450502411,8.5,45.64921001172854,45.64921001172854,qLogNEI,17.202285256410253,62.8514952681388
21,2025-09-08 01:45:05,392.52573797221464,21.185978172830964,0.33115185371881306,7.772310749900568,49.33216028693528,49.33216028693528,qLogNEI,17.745003174603173,67.07716346153845
22,2025-09-08 02:03:31,386.871579469787,21.48143522855576,0.28161790889711186,8.5,45.07720177444796,45.07720177444796,qLogNEI,18.592810725552052,63.670012500000006
23,2025-09-08 02:17:37,385.0291121439513,27.694992996433264,0.33266172738885363,8.5,18.278234734495655,18.278234734495655,qLogNEI,21.99008805031447,40.268322784810124
24,2025-09-08 02:34:31,393.98820308440315,18.390122606648735,0.2945012164077877,7.306019037223476,42.133005630990425,42.133005630990425,qLogNEI,17.717456869009585,59.850462500000006
25,2025-09-08 02:51:41,385.3491382938832,18.81206521116742,0.3333968567669154,7.929708932171261,48.8779999084249,48.8779999084249,qLogNEI,17.567009615384617,66.44500952380952
26,2025-09-08 03:03:58,391.41520228632925,19.814087233479583,0.34235310644897915,6.337956307301275,44.871905451236664,44.871905451236664,qLogNEI,17.902146496815284,62.77405194805195
27,2025-09-08 03:21:18,389.5229383238924,18.94994064447506,0.326956227348098,8.5,49.77202868093261,49.77202868093261,qLogNEI,17.65081290322581,67.42284158415842
28,2025-09-08 03:34:28,409.9032833437058,24.979976515680153,0.3240328765255723,7.478689275264023,40.45182880520506,40.45182880520506,qLogNEI,18.87992744479495,59.33175625000001
29,2025-09-08 03:54:52,373.0529281006831,17.066314831920568,0.2926698995034122,8.5,44.227863528354625,44.227863528354625,qLogNEI,17.734095846645367,61.96195937499999
30,2025-09-08 04:01:34,416.50545304138876,25.6796437111509,0.38328166510115075,3.5,30.384334145270135,30.384334145270135,qLogNEI,18.769589905362775,49.15392405063291
