iter,timestamp,pressure,velocity,wall_spacing,number_of_layers,objective_raw,objective_for_BO,acquisition,norm_avg,norm_std,avg_val,std_val
1,2025-09-09 00:10:49,142.1337522398564,10.267318997105836,0.45712301340565586,3.963196561694881,-0.038717734646216855,-0.038717734646216855,RANDOM,0.007300694444444428,0.046018429090661284,16.3942375,0.13805528727198385
2,2025-09-09 00:19:55,148.34711526257323,20.440633583333593,0.4617789477460521,6.156480263934844,0.04394928445341617,0.04394928445341617,RANDOM,0.3964486689814815,0.35249938452806534,37.408228125,1.057498153584196
3,2025-09-09 00:27:43,176.91278858043947,11.133512506652394,0.5400010679058797,3.969015417458763,0.0050949173823998245,0.0050949173823998245,RANDOM,0.031148148148148123,0.026053230765748298,17.682,0.0781596922972449
4,2025-09-09 00:43:18,131.757752745417,14.406716296722175,0.3181191481904217,5.572917537193346,-0.04230224492293116,-0.04230224492293116,RANDOM,0.003597511574074072,0.04589975649700523,16.194265625,0.13769926949101569
5,2025-09-09 00:50:08,164.58410568973096,16.503926121964312,0.46602225271013364,4.414507932337497,-0.04344788183690351,-0.04344788183690351,RANDOM,0.6157604166666667,0.6592082985035702,49.2510625,1.9776248955107107
6,2025-09-09 00:56:58,135.19020932523244,22.72629253468297,0.48957453208147783,5.380789655992794,-0.2951182045976246,-0.2951182045976246,RANDOM,0.031179456018518528,0.3262976606161431,17.683690625,0.9788929818484293
7,2025-09-09 01:06:48,149.55498231532954,19.318501065906933,0.4415432237498166,6.288675003737222,-0.35084471020052876,-0.35084471020052876,qUCB(beta=0.25),0.0677512152777778,0.41859592547830654,19.658565625,1.2557877764349197
8,2025-09-09 01:17:20,137.7691354787314,15.851847093721068,0.4631724536522977,5.756324767415922,-0.029137979514025084,-0.029137979514025084,qUCB(beta=0.25),0.0020207175925925996,0.031158697106617683,16.10911875,0.09347609131985304
9,2025-09-09 01:26:13,148.1290969054032,20.71477982554879,0.46681256024864054,6.125088971339995,-0.05618097840181033,-0.05618097840181033,qUCB(beta=0.25),0.0047612847222222665,0.06094226312403259,16.257109375000002,0.1828267893720978
10,2025-09-09 01:35:34,143.0569747269671,20.274092217924814,0.4521100583452529,6.10665525161344,-0.0022996208480865637,-0.0022996208480865637,qUCB(beta=0.25),0.0006004629629629616,0.002900083811049525,16.032425,0.008700251433148575
11,2025-09-09 01:45:01,144.7154045854606,19.979070067911074,0.44842810546211553,6.158715747300601,-0.0021676400691746267,-0.0021676400691746267,qUCB(beta=0.25),0.0005936921296296173,0.002761332198804244,16.032059375,0.008283996596412732
12,2025-09-09 01:53:24,165.75878297995362,10.837188582481597,0.5116491077672456,3.967019895664281,-0.007547701470025354,-0.007547701470025354,qUCB(beta=0.25),0.0006802662037037363,0.00822796767372909,16.036734375,0.024683903021187274
13,2025-09-09 02:02:03,149.13101884989592,18.644139875481997,0.5168240312307708,6.165683972038441,-0.0025718452277623542,-0.0025718452277623542,qUCB(beta=0.25),0.0006333912037037264,0.0032052364314660805,16.034203125,0.009615709294398242
14,2025-09-09 02:14:46,131.3453577795281,20.415381043181977,0.31882859912222095,6.162078365405898,-0.001947184698640758,-0.001947184698640758,qUCB(beta=0.25),0.000645196759259279,0.002592381457900037,16.034840625,0.0077771443737001105
15,2025-09-09 02:23:43,173.7646072353855,23.12082651479534,0.4369547172422961,6.171512107109736,-0.0023734552722346463,-0.0023734552722346463,qUCB(beta=0.25),0.0006173611111110785,0.002990816383345725,16.0333375,0.008972449150037174
16,2025-09-09 02:29:38,180.0,14.819442685887456,0.6,3.995429311975993,-0.0022358833882230823,-0.0022358833882230823,qUCB(beta=0.25),0.000665277777777757,0.002901161166000839,16.035925,0.008703483498002517
17,2025-09-09 02:34:47,180.0,19.112846304727142,0.6,3.965957510882712,-0.010458046358119925,-0.010458046358119925,qUCB(beta=0.25),0.000797337962962951,0.011255384321082876,16.04305625,0.03376615296324863
18,2025-09-09 02:41:22,121.498912326234,30.0,0.5506834924184604,6.163401276715053,-0.0020285434316080425,-0.0020285434316080425,qUCB(beta=0.25),0.0006377893518518231,0.0026663327834598655,16.034440625,0.007998998350379597
19,2025-09-09 02:56:01,126.06611158224871,14.962791937562434,0.33602518817567856,6.027720217638135,-0.0019444425605169178,-0.0019444425605169178,qLogNEI,0.0006553819444444076,0.0025998245049613255,16.035390624999998,0.007799473514883976
20,2025-09-09 03:07:53,154.2610958478018,20.9480410805483,0.3433923773886006,5.833295541505914,-0.0026313693073499993,-0.0026313693073499993,qLogNEI,0.0006527199074074467,0.0032840892147574462,16.035246875000002,0.009852267644272338
21,2025-09-09 03:19:25,129.9867164818115,19.313750847587812,0.3667312234626415,5.916918119229724,-0.0022312715374364486,-0.0022312715374364486,qLogNEI,0.0006656250000000236,0.002896896537436472,16.03594375,0.008690689612309416
22,2025-09-09 03:28:01,150.93370280636373,14.88546233602958,0.6,5.977968852999606,-0.001584840968749138,-0.001584840968749138,qLogNEI,0.0007075810185185368,0.002292421987267675,16.038209375,0.006877265961803025
23,2025-09-09 03:45:05,180.0,10.124664251542693,0.25,4.0887082008271145,-0.002154170185441267,-0.002154170185441267,qLogNEI,0.0007405671296296574,0.0028947373150709243,16.039990625,0.008684211945212773
24,2025-09-09 03:51:43,180.0,12.327491511775303,0.6,3.8448300229633583,-0.002104214376173335,-0.002104214376173335,qLogNEI,0.0006250000000000236,0.0027292143761733587,16.03375,0.008187643128520076
25,2025-09-09 03:57:38,154.19743145395643,15.10511443318198,0.6,3.760975822644507,-0.005314536158093619,-0.005314536158093619,qLogNEI,0.0007163773148147962,0.006030913472908415,16.038684375,0.018092740418725245
26,2025-09-09 04:02:01,157.77357026675875,27.60971975316221,0.6,4.173268420260028,-0.007162132314078092,-0.007162132314078092,qLogNEI,0.0008320601851852074,0.0079941924992633,16.04493125,0.0239825774977899
27,2025-09-09 04:11:24,170.72418884976193,28.037771460298504,0.25,3.662595330842716,-0.0015692384581645646,-0.0015692384581645646,qLogNEI,0.0008141203703703562,0.0023833588285349207,16.0439625,0.007150076485604762
28,2025-09-09 04:16:04,144.28658071247915,23.67670497822584,0.6,3.5766824220665323,-0.0019336016764458157,-0.0019336016764458157,qLogNEI,0.0007585648148147986,0.0026921664912606144,16.0409625,0.008076499473781843
29,2025-09-09 04:28:13,142.16446363361632,16.881534316505906,0.25,4.275311994223194,-0.002560849569846352,-0.002560849569846352,qLogNEI,0.0007896990740741375,0.0033505486439204895,16.042643750000003,0.010051645931761468
30,2025-09-09 04:45:27,180.0,10.0,0.25,3.5,-0.0022304579291336753,-0.0022304579291336753,qLogNEI,0.0007323495370370881,0.0029628074661707635,16.039546875000003,0.00888842239851229
