iter,timestamp,pressure,velocity,wall_spacing,number_of_layers,objective_raw,objective_for_BO,acquisition,norm_avg,norm_std,avg_val,std_val
1,2025-09-08 19:29:04,323.77917413285456,10.267318997105836,0.45712301340565586,3.963196561694881,-0.5490368055555556,-0.5490368055555556,RANDOM,0.45096319444444444,1.0,40.3520125,3.0
2,2025-09-08 19:38:10,344.49038420857744,20.440633583333593,0.4617789477460521,6.156480263934844,-0.7973569444444444,-0.7973569444444444,RANDOM,0.20264305555555562,1.0,26.942725000000003,3.0
3,2025-09-08 19:45:58,439.70929526813154,11.133512506652394,0.5400010679058797,3.969015417458763,0.4018105610663296,0.4018105610663296,RANDOM,0.5279671296296298,0.12615656856330018,44.510225000000005,0.37846970568990057
4,2025-09-08 20:01:33,289.19250915139,14.406716296722175,0.3181191481904217,5.572917537193346,-0.9549385995370371,-0.9549385995370371,RANDOM,0.04506140046296294,1.0,18.433315625,3.0
5,2025-09-08 20:08:23,398.6136856324365,16.503926121964312,0.46602225271013364,4.414507932337497,-0.21085385158588382,-0.21085385158588382,RANDOM,0.2592424189814814,0.47009627056736525,29.999090624999997,1.4102888117020957
6,2025-09-08 20:15:13,300.6340310841082,22.72629253468297,0.48957453208147783,5.380789655992794,-0.5896617469028611,-0.5896617469028611,RANDOM,0.010389930555555557,0.6000516774584167,16.56105625,1.8001550323752502
7,2025-09-08 20:22:59,450.0,10.0,0.6,3.5,0.33674523654454325,0.33674523654454325,qUCB(beta=0.25),0.48088373842592597,0.1441385018813827,41.967721875,0.43241550564414805
8,2025-09-08 20:33:16,450.0,10.0,0.42598643976489753,3.8684589989118607,0.6154426110340727,0.6154426110340727,qUCB(beta=0.25),0.662055787037037,0.046613176002964385,51.7510125,0.13983952800889315
9,2025-09-08 20:48:41,450.0,10.0,0.27983636065071,3.5,-0.4483662037037037,-0.4483662037037037,qUCB(beta=0.25),0.5516337962962963,1.0,45.788225,3.0
10,2025-09-08 20:58:10,450.0,10.0,0.47019253723039517,3.5,0.5634673494088632,0.5634673494088632,qUCB(beta=0.25),0.6179811342592593,0.05451378485039606,49.37098125,0.16354135455118818
11,2025-09-08 21:12:45,450.0,10.0,0.45294183689821665,5.633025532907361,0.6850258108189684,0.6850258108189684,qUCB(beta=0.25),0.7236130208333333,0.038587210014364944,55.075103125,0.11576163004309484
12,2025-09-08 21:32:01,450.0,10.0,0.45241978572459896,8.458250016380026,0.6975347562454415,0.6975347562454415,qUCB(beta=0.25),0.7531065972222223,0.055571840976780834,56.667756250000004,0.1667155229303425
13,2025-09-08 21:51:25,450.0,10.0,0.44911398949196846,8.5,0.6527296108444012,0.6527296108444012,qUCB(beta=0.25),0.7153634259259262,0.06263381508152496,54.62962500000001,0.1879014452445749
14,2025-09-08 22:10:16,450.0,10.0,0.4619915095200287,7.818417123895515,0.6643685145807066,0.6643685145807066,qUCB(beta=0.25),0.7019196180555556,0.037551103474849024,53.903659375000004,0.11265331042454707
15,2025-09-08 22:29:56,450.0,10.0,0.44134149460594785,7.949131062464855,0.5337979045534552,0.5337979045534552,qUCB(beta=0.25),0.7086706018518519,0.1748726972983967,54.268212500000004,0.52461809189519
16,2025-09-08 22:48:00,450.0,10.0,0.477422799083302,8.5,0.6194095417960302,0.6194095417960302,qUCB(beta=0.25),0.6868286458333335,0.06741910403730318,53.088746875000005,0.20225731211190956
17,2025-09-08 23:06:29,450.0,10.0,0.4681175044284389,8.5,0.6342622880306008,0.6342622880306008,qUCB(beta=0.25),0.708811863425926,0.07454957539532511,54.275840625,0.22364872618597534
18,2025-09-08 23:25:19,450.0,10.0,0.4654915473489322,8.5,0.644222406438789,0.644222406438789,qUCB(beta=0.25),0.7245092013888889,0.08028679495009981,55.123496875,0.24086038485029945
19,2025-09-08 23:33:19,450.0,30.0,0.6,8.5,0.4189466023893984,0.4189466023893984,qLogNEI,0.5335460648148148,0.1145994624254164,44.8114875,0.3437983872762492
20,2025-09-08 23:43:26,450.0,29.590607392084838,0.46240349886254856,8.5,0.29095813936471265,0.29095813936471265,qLogNEI,0.6743914351851852,0.38343329582047253,52.4171375,1.1502998874614176
